Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1365454538,FWF7605,NY,PAS,2/12/76,40,VAN,TOYOT,P,37290,10740,10940,20150920,114,114,114,924083,114,0,0458A,,Q,F,49-11,BROADWAY,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2007,-,0,,,,,
1357066697,GJX5695,NY,PAS,12/27/76,78,VAN,FORD,P,10790,19090,19190,20151124,110,110,110,938338,110,0,1239A,,Q,F,98-27,50 AVE,,0,408,F1,,YYYYYYY,0:00,0:00,WHITE,0,2003,-,0,,,,,
1347701400,GCM7302,NY,PAS,2/21/79,71,SUBN,FORD,P,61730,67030,58730,20141106,79,79,165,953602,165,0,0320A,,K,F,273,MONROE ST,,0,408,99,,BBBBBBB,0:00,0:00,BLK,0,2002,-,0,,,,,
1347701394,GCM7302,NY,PAS,2/21/79,99,SUBN,FORD,P,61730,67030,58730,20141106,79,79,165,953602,165,0,0330A,,K,F,273,MONROE ST,,0,408,F1,,BBBBBBB,0:00,0:00,BLK,0,2002,-,0,,,,,
1359039533,FCJ6798,NY,PAS,1/1/81,46,SDN,HONDA,P,9330,5430,5580,20140714,72,72,72,951841,72,0,0549P,,K,F,450,55 ST,,0,408,F1,,BBBBBBB,ALL,ALL,BLUE,0,2007,-,0,,,,,
1357082800,END3168,NY,PAS,2/11/81,98,SDN,TOYOT,P,20190,10290,10440,20151025,110,110,110,942238,110,0,1100A,,Q,F,46-01,108 ST,,0,408,J7,,BBBBBBB,ALL,ALL,GRAY,0,2002,-,0,,,,,
1364781992,51457JJ,NY,COM,2/11/81,20,VAN,CHEVR,P,57790,27490,42785,20160131,111,111,111,943107,111,0,0320A,,Q,F,241-15,NORTHERN BLVD,,0,408,E2,,BBBBBBB,0  :A,0  :A,WHT,0,2001,-,0,,,,,
1358530051,GEX4313,NY,PAS,2/11/81,98,SUBN,CHEVR,P,18590,42490,6940,20150403,115,115,115,949295,115,0,0540A,,Q,O,22-03,93 ST,,0,408,F2,,BBBBBBB,ALL,ALL,GRAY,0,2001,-,0,,,,,
1349951043,H180265,NJ,PAS,1/11/87,70,SUBN,AURA,P,28290,18120,77150,20131201,47,47,47,948249,47,0,1023A,,BX,F,651,E 222 STREET,,0,408,F7,,YYYYYYY,0:00,0:00,BLK,0,0,-,0,,,,,
1349951031,H180265,NJ,PAS,1/11/87,71,SUBN,AURA,P,28290,18120,77150,20131201,47,47,47,948249,47,0,1023A,,BX,F,651,E 222 STREET,,0,408,J6,,YYYYYYY,0:00,0:00,BLK,0,0,-,0,,,,,
1364805900,GAR6857,NY,PAS,2/9/87,70,SDN,NISSA,P,0,40404,40404,20141108,67,67,164,955586,164,0,1035P,,K,O,1040,E,,0,408,J6,,BBBBBBB,0:00,0  :A,RED,0,2002,-,0,,,,,
1357615280,CMW7254,TX,PAS,2/2/90,98,SDN,ME/BE,P,17730,44005,15650,0,121,121,121,952013,121,0,0133A,,R,F,49,BEACH AVE,,0,408,C,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1355329360,GKX8892,NY,PAS,12/9/90,40,SUBN,FORD,P,35290,31240,31290,20141126,101,101,101,951497,101,0,0902A,,Q,F,4402,BEACH CHANNEL DR,,0,408,C,,YYYYYYY,0:00,0:00,BK,0,2003,-,0,,,,,
1364794688,DDR4766,NY,PAS,1/12/91,40,SUBN,ME/BE,P,27106,9340,9540,20150311,111,111,111,942475,111,0,0223P,,Q,,40-30,235 ST,,0,408,C4,,BBBBBBB,ALL,ALL,SILVE,0,2005,-,0,,,,,
1360988166,78302MB,NY,COM,1/1/00,45,DELV,,P,10210,18030,18050,20140630,17,17,17,940140,17,0,1009A,,NY,O,875,3RD AVE,,0,408,E1,,BBBBBBB,0:00,0:00,GREEN,0,2011,-,0,,,,,
1356063457,GKZ6321,NY,PAS,1/1/00,71,SUBN,CHEVR,P,36420,27120,27150,20151117,46,46,163,953653,163,0,0629P,,BX,F,2235,GRAND CONCOURSE,,0,408,J6,,YYYYYYY,0  :A,0  :A,GREEN,0,2003,-,0,,,,,
1347746006,GJP5153,NY,PAS,1/1/00,19,SMAR,SMART,P,42730,41930,79630,20150831,79,79,79,932140,79,0,0200P,,K,O,1155,FULTON ST,,0,408,J6,,BBBBBBB,ALL,ALL,BLACK,0,2013,-,0,,,,,
1355379350,FYW6498,NY,PAS,1/4/00,51,SDN,NISSA,K,62200,60805,0,20140621,100,100,3,160228,3,0,0137P,,Q,O,8600,SHORE FRONT PKWY,ROCKAWAY BEACH,0,408,D,,BBBBBBB,ALL,ALL,SILVE,0,2005,-,0,,,,,
1357592103,FRP2587,NY,PAS,1/4/00,40,SDN,NISSA,P,0,40404,40404,20130902,121,121,121,950818,121,0,1045P,,R,O,140,LUDWIGE LANE,,0,408,J6,,BBBBBBB,ALL,ALL,SILVE,0,2008,-,0,,,,,
1358334584,FZY8149,NY,PAS,1/4/00,46,SUBN,CHEVR,P,66120,68020,22820,20140101,42,42,42,953012,42,0,0211P,,BX,O,530,ST.PAULS PL,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1340642840,SRTED,NY,SRF,1/4/00,51,SUBN,DODGE,K,62200,60805,0,20140214,100,100,3,160228,3,0,0100P,,Q,F,103-00,SHORE FRONT PKWY,ROCKAWAY BEACH,0,408,E3,,BBBBBBB,ALL,ALL,SILVE,0,2013,-,0,,,,,
1362636204,4612JG,CT,PAS,1/5/00,74,SDN,NISSA,P,0,0,0,0,45,45,45,949262,45,0,1050A,,BX,,,C/O HUTCHINSON PKWY,PALMER VE,0,408,J6,,YYYYYYY,0:00,0:00,BLUE,0,0,-,0,,,,,
1358232921,EWA7466,NY,PAS,1/6/00,70,SDN,NISSA,P,27100,49690,17590,20131111,105,105,105,937432,105,0,1104A,,Q,F,86-07,233 STREET,,0,408,J6,,BBBBBBB,ALL,ALL,BLACK,0,2008,-,0,,,,,
1364353556,88630MD,NY,COM,1/6/00,46,DELV,,P,5880,9230,9280,0,66,66,66,931465,66,0,0945A,,K,F,5322,8 AVE,,0,408,J6,,YYYYYYY,0:00,0:00,BR,0,0,-,0,,,,,
1362355392,GRV2312,NY,PAS,1/6/00,98,SDN,MAZDA,P,35050,11710,44990,20150326,20,20,20,932323,20,0,0800P,,,F,210,W 64 ST,,0,408,C3,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1358921623,18169PC,NY,COM,1/7/00,49,SOM,,P,10510,34870,34890,20140430,15,15,401,918915,401,0,0825A,,NY,F,1375,6 AVE,,0,408,L2,,BBBBBBB,ALL,ALL,WT,0,0,-,0,,,,,
1358921635,T486834,99,COM,1/7/00,47,TRLR,FL,P,10510,34870,34890,0,15,15,401,918915,401,0,0825A,,NY,F,1375,6 AVE,,0,408,L2,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1358911538,88756MB,NY,COM,1/7/00,46,DELV,FRUEH,P,0,0,0,0,71,71,405,906048,405,0,0342P,,K,F,,S/E C/O LEFFERTS,NOSTRAND,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2006,-,0,,,,,
1358575332,170XSK,CT,PAS,1/8/00,16,SDN,VOLKS,P,0,40404,40404,0,19,19,19,934644,19,0,0601P,,NY,F,244,EAST 84,,0,408,K2,,YYYYYYB,0700A,0700P,BLACK,0,0,-,0,,,,,
1359206036,GLJ4917,NY,PAS,1/8/00,19,VAN,FORD,P,42730,54070,85330,20151222,79,79,79,927565,79,0,0356P,,K,F,1511,FULTON ST,,0,408,J6,,BBBBBBB,ALL,ALL,WH,0,2008,-,0,,,,,
1358655303,628XYR,CT,PAS,1/8/00,14,SDN,CADIL,P,26550,41620,40120,20140413,,0,163,952838,163,0,1144P,1138P,BX,F,1045,E 163RD ST,,0,408,E2,,BBBBBBB,ALL,ALL,GY,0,2003,-,0,,,,,
1353764930,BAW1554,NY,PAS,1/9/00,21,SDN,TOYOT,X,23130,70930,83730,20140207,73,73,110,350318,T110,0,0924A,,K,F,106,BRISTOL ST,,0,408,D1,,YBBYBBB,0  :A,0  :A,WH,0,1998,-,0,,,,,
1356789020,GLC0746,NY,PAS,1/9/00,98,SDN,BMW,P,38490,13390,13740,20151202,104,104,104,949963,104,0,1106P,,Q,F,64-38,CATALPA AVE,,0,408,F2,,YYYYYYY,0:00,0:00,GY,0,2009,-,0,,,,,
1358235636,ERP5947,NY,PAS,1/13/00,71,SDN,TOYOT,P,45890,23080,23060,20150426,105,105,105,933208,105,0,0304P,,Q,F,259-23,FRANCIS LEWIS BLVD,,0,408,C,,BBBBBBB,ALL,ALL,GREEN,0,1995,-,0,,,,,
1358235582,FXE3215,NY,PAS,1/13/00,14,SUBN,FORD,P,57550,45890,27140,20150314,105,105,105,933208,105,0,0740A,,Q,F,241-09,N. CONDUIT AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BK,0,2004,-,0,,,,,
1358207150,GDX5773,NY,PAS,1/13/00,71,SDN,TOYOT,P,27090,21900,22090,20150227,105,105,105,928201,105,0,1038A,,Q,O,131-07,227 STREET,,0,408,J6,,BBBBBBB,ALL,ALL,GOLD,0,2001,-,0,,,,,
1357262930,C91AZL,NJ,PAS,1/14/00,14,SDN,HYUND,P,34210,10410,10510,0,13,13,13,949322,13,0,1005P,,NY,O,40,W 22,,0,408,C,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1364669237,CSY2285,NY,PAS,1/14/00,40,SDN,NISSA,P,10580,7080,7230,20140408,62,62,62,952388,62,0,1031P,,K,F,2019,80TH ST,,0,408,K6,,BBBBBBB,ALL,ALL,SILVR,0,1997,-,0,,,,,
1358881613,GGT4395,NY,PAS,1/14/00,46,SUBN,BMW,P,0,40404,40404,20150621,20,20,20,933109,20,0,0903P,,NY,O,236,COLOMBUS AVE,,0,408,C3,,BBBBBBB,ALL,ALL,SILVR,0,2014,-,0,,,,,
1353906723,XE320U,NJ,PAS,1/15/00,46,DELV,MITSU,X,18230,10410,25390,0,,0,401,917677,401,0,0432P,,NY,O,13,E 62 ST,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1345834123,858ZPZ,CT,PAS,1/15/00,19,SDN,NISSA,P,49690,24540,24590,20141103,103,103,171,955186,171,0,1254P,,Q,F,169-14,HILLSIDE AVE,,0,408,F1,,BBBBBBB,ALL,ALL,RED,0,2013,-,0,,,,,
1365725388,96394MB,NY,COM,1/17/00,46,VAN,CHEVR,P,25390,19090,19110,0,23,23,23,945266,23,0,0200P,,NY,F,1590,MADISON AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2011,-,0,,,,,
1362928495,BJL01,NY,PAS,1/18/00,51,SUBN,JEEP,P,8790,66390,5540,20140930,114,114,114,947942,114,0,0205P,,Q,O,17-Aug,37TH AVE,,0,408,D1,,BBBBBBB,0  :A,ALL,BROWN,0,2011,-,0,,,,,
1361106013,GJF1596,NY,PAS,1/20/00,20,SDN,HONDA,P,0,40404,40404,20150721,61,61,61,948876,61,0,0405P,,K,F,1919,GRAVESEND NORTH RD,,0,408,F1,,BBBBBBB,0:00,0:00,GRY,0,2013,-,0,,,,,
1356241785,CHU4489,NY,PAS,1/23/00,40,SUBN,HONDA,P,36630,12380,54050,20151112,63,63,63,952644,63,0,1122P,,K,F,1292,E 40 ST,,0,408,F1,,BBBBBBB,ALL,ALL,GR,0,1998,-,5,,,,,
1358218924,FPF5784,NY,PAS,1/24/00,20,SDN,HONDA,P,0,0,0,20150705,105,105,105,928725,105,0,1216P,,,,,C/O N CONDUIT AVE,246 ST,0,408,F7,,BBBBBBB,ALL,ALL,GY,0,2012,-,0,,,,,
1365696730,157ZF8,MA,PAS,1/28/00,20,SUBN,ME/BE,P,37670,10910,11010,0,34,34,34,916495,34,0,0119A,,NY,F,416,W 206 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1360992250,BE11534,NJ,PAS,1/28/00,46,TRLR,MICKE,P,10110,17850,17870,0,17,17,17,937077,17,0,1211P,,NY,F,820,2ND AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BLUE,0,2013,-,0,,,,,
1309007524,GED7291,NY,PAS,1/28/00,21,SUBN,CHEVR,S,51090,22140,55690,20140414,102,102,0,594671,0DST,0,0920A,,Q,F,134-12,JAMAICA AVE,,0,408,D1,,YYYYYYB,0830A,0900A,BLUE,0,0,-,0,,,,,
1359151163,YZC9134,PA,PAS,1/29/00,20,DELV,ISUZU,P,34930,10510,10610,0,18,18,18,896040,18,0,1155A,,NY,F,100,W 58 ST,,0,408,C,,YBYYBYB,0700A,0700P,WHITE,0,0,-,0,,,,,
1360980374,632741M,99,COM,1/30/00,74,DELV,GMC,P,17870,10210,10110,0,17,17,17,949636,17,0,0552P,,NY,F,230,E 44 ST,,0,408,K6,,BBBBBBB,0:00,0:00,BROWN,0,1986,-,0,,,,,
1366092703,30064JJ,NY,COM,1/31/00,47,VAN,FORD,P,10510,34570,34590,20140930,17,17,401,918915,401,0,1155A,,NY,F,1071,6 AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WT,0,2004,-,0,,,,,
1364851866,CTF4899,NY,PAS,2/2/00,71,SDN,NISSA,P,67030,72230,24830,20140425,71,71,164,955292,164,0,0437P,,K,F,863,NOSTRAND AVE,,0,408,J3,,BBBBBBB,ALL,ALL,BLACK,0,2005,-,0,,,,,
1365753438,EMD8501,NY,PAS,2/4/00,71,SDN,ME/BE,P,26450,52010,10280,20141214,123,123,123,931910,123,0,0245P,,R,,2900,VETERANS RD W,,0,408,J6,,BBBBBBB,ALL,ALL,BK,0,2013,-,0,,,,,
1366347195,7806CC,CT,COM,2/4/00,50,VAN,GMC,P,39490,43360,10140,0,109,109,109,904615,109,0,0435P,,Q,O,4435,COLDEN STREET,,0,408,J7,,BBBBBBB,ALL,ALL,WHI,0,2011,-,0,,,,,
1353884752,78674JW,NY,999,2/6/00,19,,,P,0,40404,40404,20140811,1,1,406,892209,406,0,0843A,,,,25,TRINITY AVE,,0,408,E2,,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,,
1365831401,GJC4598,NY,PAS,2/7/00,67,SDN,CHEVR,P,52130,81030,50130,20150729,83,83,165,954012,165,0,0206A,,K,F,199,IRVING AVENUE,,0,408,K6,,BBBBBBB,ALL,ALL,BLACK,0,2003,-,0,,,,,
1358882885,62705JM,NY,COM,2/7/00,46,DELV,GMC,P,14510,35290,35310,0,20,20,20,949579,20,0,0525P,,NY,F,170,CENTRAL PARK WEST,,0,408,C3,,BBBBBBB,ALL,ALL,BROWN,0,1990,-,0,,,,,
1362088286,V508NL,FL,PAS,2/8/00,40,SDN,DODGE,P,36620,26610,26640,0,44,44,44,951717,44,0,0745P,,BX,F,1045,GRANT AVE,,0,408,F7,,BBBBBBB,ALL,ALL,WHITE,0,2005,-,0,,,,,
1361606198,ZXP37T,NJ,PAS,2/9/00,14,SDN,ROVER,P,17250,13610,10350,0,9,9,9,906379,9,0,0100A,,NY,F,74,EAST 13TH ST,,0,408,K2,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1366910096,EEV7494,NY,PAS,2/11/00,19,SUBN,HONDA,P,0,40404,40404,20140228,23,23,23,935942,23,0,0157A,,NY,F,55,E 104 ST REAR OF,,0,408,E2,,BBBBBBB,0:00,0:00,BLK,0,2005,-,0,,,,,
1358315577,54SB72,PA,PAS,2/11/00,51,MC,HONDA,P,13510,36690,36710,20140430,32,32,32,941136,32,0,1026A,,NY,F,88,BRADHURST AVE,,0,408,F1,,BBBBBBB,0:00,0:00,BLK,0,2001,-,0,,,,,
1358252609,841GN3,MA,PAS,2/11/00,50,SDN,HONDA,P,53890,26990,27040,20140331,105,105,105,922132,105,0,0521P,,Q,F,223-21,LINDEN BLVD,,0,408,C,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1358244455,S030GFL,FL,PAS,2/11/00,19,SUBN,CHRYS,P,55590,27090,27092,0,105,105,105,949775,105,0,0915P,,Q,F,227-19,MERRICK BLVD,,0,408,C3,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1357891039,GHV4666,NY,PAS,2/11/00,60,SDN,ACURA,P,0,0,0,20150811,52,52,52,930202,52,0,1235P,,BX,,,500 FT S. OF 3400 PA,,0,408,M2,,BBBBBBB,0:00,0:00,,0,2008,-,0,,,,,
1362102544,T527258C,NY,SRF,2/12/00,46,SDN,LINCO,P,26610,18220,64620,20140430,44,44,44,940770,44,0,0250P,,BX,O,199,E 165 STREET,,0,408,F1,,BBBBBBB,ALL,ALL,SILVE,0,2004,-,0,,,,,
1366109569,63610JM,NY,COM,2/14/00,46,TRLR,GMC,X,24890,18410,18430,0,17,17,401,946951,401,0,0326A,,NY,F,985,LEXINGTON AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BROWN,0,1988,-,0,,,,,
1366180367,GFT8943,NY,PAS,2/14/00,21,P-U,FORD,P,51090,26440,26435,20150710,105,105,105,999724,105,0,0630A,,Q,F,212-42,JAMAICA AVE,,0,408,D1,,BBBBBBB,ALL,0  :A,BLK,0,2006,-,0,,,,,
1357261044,56371JA,NY,COM,2/14/00,20,VAN,FORD,P,17310,10410,32633,0,13,13,13,949611,13,0,0518P,,NY,F,6,E 16TH ST,,0,408,D,,BBBBBBB,0:00,0:00,WHITE,0,2010,-,0,,,,,
1357599584,ETB2704,NY,PAS,2/16/00,40,SUBN,NISSA,P,0,0,0,20150709,121,121,121,938623,121,0,0946A,,R,,,GANSVORT BLVD,BIELLE,0,408,J2,,BBBBBBB,ALL,ALL,GREEN,0,1998,-,0,,,,,
1366561053,CBK8251,NY,PAS,2/18/00,14,SDN,HONDA,P,34450,10410,10510,20141107,14,14,14,951335,14,0,1010P,,NY,F,68,W 34 ST,,0,408,C3,,YYYYYYY,1000P,0700A,GREY,0,2001,-,0,,,,,
1354031167,45017PA,NY,COM,2/19/00,16,DELV,INTER,P,34670,11720,11110,20141031,18,18,420,899471,420,0,0535A,,NY,F,545,W 45 ST,,0,408,F1,,YYYYYBB,0100A,0700P,BLUE,0,1990,-,0,,,,,
1366984640,FLT2347,NY,PAS,2/20/00,98,SDN,NISSA,P,28230,10080,10180,20150404,68,68,68,949960,68,0,0800P,,,F,7101,COLONIAL RD,,0,408,F1,,BBBBBBB,ALL,ALL,GY,0,2010,-,0,,,,,
1364622208,R595749,IL,PAS,2/20/00,20,SUBN,BMW,X,0,0,0,0,100,100,100,929841,100,0,0740P,,Q,,70-20,RBB,,0,408,C3,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1366522965,46519PA,NY,COM,2/21/00,10,DELV,FRUEH,X,10910,34450,34470,20141088,14,14,14,942248,14,0,0805A,,NY,F,440,9TH AVE,,0,408,D,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1364450290,ERU2328,NY,PAS,2/22/00,62,SDN,HONDA,X,0,0,0,20150515,107,107,107,939381,107,0,0200A,,Q,,,C/O 69 AVE,193 LANE,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2012,-,0,,,,,
1360470682,FWJ3464,NY,PAS,2/22/00,40,SDN,MAZDA,P,11115,45210,0,20160130,1,1,1,923120,1,0,0640A,,NY,F,,WEST ST,WEST THAMES,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2012,-,10,,,,,
1360469230,52962MD,NY,COM,2/23/00,51,VAN,FREI,P,24050,13610,27100,0,1,1,1,920519,1,0,1002A,,NY,F,12,JOHN ST,,0,408,C3,,BBBBBBB,ALL,ALL,BK,0,2014,-,0,,,,,
1358236525,APZ795,NJ,PAS,2/25/00,46,TRLR,,P,55590,27096,45890,0,105,105,105,943147,105,0,1115A,,Q,F,230-14,MERRICK BLVD,,0,408,D,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1353813228,63540JM,NY,COM,2/25/00,46,DELV,GMC,P,14510,35190,35210,0,,0,420,886342,420,0,1015A,,NY,F,115,CENTRAL PARK WEST,,0,408,D,,BBBBBBB,0:00,0:00,BR,0,0,-,0,,,,,
1365586261,D74CVA,NJ,PAS,2/28/00,46,SDN,INFIN,P,0,0,0,0,70,70,70,929496,70,0,0900A,,,,,,,0,408,F1,,BBBBBBB,0:00,0:00,GRY,0,0,-,0,,,,,
1359127665,EDC1820,NY,PAS,3/2/00,98,SDN,TOYOT,P,21490,53790,19990,20151004,106,106,106,951934,106,0,0740P,,Q,F,104-65,122 STREET,,0,408,C3,,BBBBBBB,0:00,0:00,RED,0,2008,-,0,,,,,
1359757983,G431807L,GV,PAS,3/2/00,98,P-U,FORD,P,0,40404,40404,0,108,108,108,943773,108,0,1143A,,Q,F,42-36,CRESCENT AVE,,0,408,F1,,BBBBBBB,0:00,0:00,,0,0,-,0,,,,,
1359746833,EFR3863,NY,PAS,3/5/00,20,SDN,NISSA,P,7740,62590,0,20140507,108,108,108,942773,108,0,0914A,,Q,,,29 ST,SKILLMAN AVE,0,408,A1,,YYYYYBB,0800A,0600P,WHITE,0,2010,-,0,,,,,
1365448460,GED6824,NY,PAS,3/6/00,98,SDN,ACURA,P,10090,7890,7990,20150304,114,114,114,935344,114,0,0158A,,Q,F,30-73,44 ST,,0,408,E2,,BBBBBBB,ALL,ALL,GREEN,0,1998,-,0,,,,,
1366080701,25255JZ,NY,COM,3/8/00,46,DELV,CHEVR,P,15010,29990,23990,0,7,7,7,928716,7,0,1043A,,NY,,275,CHERRY ST,,0,408,C,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1363243652,58857JX,NY,COM,3/10/00,51,UH,FRUEH,P,28490,15545,22410,20140731,,0,401,927373,401,0,0914A,,NY,F,95,PEARL ST,,0,408,C,,BBBBBBB,0:00,0:00,GN,0,2008,-,0,,,,,
1357084420,62514JM,NY,COM,3/10/00,46,DELV,INTER,P,9540,16490,16590,0,110,110,110,949367,110,0,1242P,,Q,F,79-11,41 AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BROWN,0,1996,-,0,,,,,
1364444719,GKC5971,NY,PAS,3/11/00,67,SUBN,CHEVR,P,0,0,0,20140930,107,107,107,952224,107,0,0142A,,Q,,,C/O 161 ST,162 ST,0,408,D,,BBBBBBB,ALL,ALL,WH,0,2014,-,0,,,,,
1362917758,T628411C,NY,SRF,3/13/00,21,SDN,LINCO,S,25770,61350,68020,20141031,40,40,0,528339,BX01,0,0101A,,BX,F,252,E 137 STREET,,0,408,D1,,BBBYBBB,1200A,0300A,BLACK,0,2007,-,0,,,,,
